session ID,page_name
24,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Sale']"
25,"['Skirts', 'Blouses']"
26,"['Trousers', 'Trousers']"
27,"['Skirts', 'Trousers', 'Blouses', 'Blouses', 'Blouses']"
28,"['Trousers', 'Trousers', 'Trousers', 'Blouses', 'Sale', 'Sale']"
29,"['Trousers', 'Trousers', 'Trousers']"
30,"['Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers']"
31,"['Trousers', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Trousers', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses']"
32,"['Trousers', 'Trousers', 'Sale']"
33,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Sale', 'Sale', 'Trousers', 'Trousers', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Skirts', 'Sale', 'Sale', 'Sale', 'Sale']"
34,"['Blouses', 'Skirts']"
35,"['Skirts', 'Trousers', 'Trousers', 'Trousers', 'Trousers']"
36,"['Sale', 'Sale']"
37,"['Skirts', 'Skirts', 'Skirts', 'Trousers', 'Trousers', 'Trousers', 'Sale']"
38,"['Sale', 'Sale', 'Trousers', 'Trousers']"
39,"['Blouses', 'Trousers']"
40,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts']"
41,"['Trousers', 'Trousers']"
43,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
44,"['Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses']"
45,"['Trousers', 'Trousers', 'Trousers']"
47,"['Skirts', 'Skirts', 'Skirts', 'Sale', 'Sale']"
48,"['Trousers', 'Sale', 'Sale']"
49,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers']"
50,"['Skirts', 'Skirts', 'Skirts', 'Skirts']"
51,"['Trousers', 'Trousers', 'Trousers', 'Trousers']"
52,"['Trousers', 'Skirts', 'Skirts', 'Skirts', 'Trousers', 'Skirts', 'Skirts', 'Sale', 'Sale']"
53,"['Trousers', 'Trousers', 'Trousers']"
54,"['Sale', 'Sale', 'Sale', 'Sale']"
55,"['Sale', 'Sale', 'Sale', 'Sale', 'Blouses', 'Blouses', 'Blouses', 'Blouses']"
56,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Sale']"
57,"['Sale', 'Sale', 'Sale']"
58,"['Sale', 'Sale', 'Trousers', 'Trousers', 'Trousers', 'Trousers']"
59,"['Blouses', 'Blouses']"
60,"['Blouses', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts']"
61,"['Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
63,"['Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses']"
64,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
65,"['Trousers', 'Trousers', 'Trousers', 'Trousers']"
66,"['Skirts', 'Trousers', 'Trousers']"
67,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses']"
68,"['Trousers', 'Skirts']"
69,"['Trousers', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Trousers', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Skirts']"
70,"['Skirts', 'Skirts', 'Skirts']"
74,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Sale', 'Sale', 'Sale']"
76,"['Sale', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Trousers', 'Trousers', 'Blouses', 'Sale']"
77,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
79,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
80,"['Sale', 'Blouses', 'Trousers']"
81,"['Sale', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Sale']"
82,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Sale']"
83,"['Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Blouses', 'Blouses', 'Blouses', 'Sale']"
84,"['Skirts', 'Skirts', 'Skirts', 'Blouses']"
86,"['Blouses', 'Blouses', 'Blouses', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
87,"['Trousers', 'Trousers', 'Trousers', 'Sale']"
88,"['Sale', 'Sale', 'Sale', 'Blouses', 'Blouses', 'Blouses']"
91,"['Trousers', 'Blouses', 'Blouses', 'Skirts', 'Sale']"
94,"['Sale', 'Sale', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Sale', 'Sale', 'Sale', 'Sale', 'Skirts', 'Skirts', 'Skirts']"
95,"['Blouses', 'Blouses']"
96,"['Skirts', 'Skirts', 'Skirts', 'Blouses', 'Trousers']"
99,"['Sale', 'Sale', 'Sale', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
100,"['Trousers', 'Trousers', 'Sale', 'Sale', 'Sale', 'Sale', 'Trousers', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Sale']"
102,"['Trousers', 'Sale', 'Blouses', 'Blouses']"
103,"['Trousers', 'Trousers', 'Trousers', 'Trousers']"
104,"['Skirts', 'Skirts', 'Skirts']"
105,"['Skirts', 'Skirts']"
106,"['Sale', 'Sale']"
107,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
108,"['Trousers', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
109,"['Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts']"
110,"['Trousers', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
112,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Sale', 'Sale', 'Trousers']"
113,"['Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses']"
114,"['Trousers', 'Trousers', 'Trousers']"
115,"['Blouses', 'Trousers']"
116,"['Trousers', 'Trousers', 'Skirts']"
119,"['Skirts', 'Blouses', 'Blouses', 'Blouses', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers']"
120,"['Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
121,"['Trousers', 'Trousers', 'Trousers', 'Skirts', 'Blouses', 'Blouses', 'Skirts', 'Trousers']"
122,"['Trousers', 'Trousers', 'Sale']"
123,"['Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Blouses']"
124,"['Sale', 'Sale', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Blouses']"
125,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Sale', 'Sale']"
126,"['Blouses', 'Blouses']"
127,"['Trousers', 'Blouses', 'Blouses', 'Trousers', 'Trousers', 'Trousers']"
130,"['Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
131,"['Blouses', 'Blouses', 'Blouses']"
132,"['Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses']"
133,"['Skirts', 'Skirts', 'Skirts', 'Skirts']"
134,"['Trousers', 'Blouses']"
135,"['Sale', 'Sale', 'Sale', 'Blouses']"
137,"['Trousers', 'Trousers', 'Trousers']"
138,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Sale', 'Sale', 'Sale', 'Sale', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers']"
139,"['Skirts', 'Trousers', 'Trousers', 'Sale', 'Sale', 'Sale']"
140,"['Trousers', 'Trousers', 'Sale', 'Sale']"
141,"['Trousers', 'Trousers', 'Blouses', 'Blouses']"
142,"['Sale', 'Sale', 'Blouses', 'Blouses']"
143,"['Blouses', 'Blouses', 'Sale', 'Sale', 'Sale']"
144,"['Skirts', 'Sale', 'Sale']"
145,"['Trousers', 'Trousers', 'Skirts', 'Blouses']"
146,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Blouses', 'Blouses', 'Blouses', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers']"
148,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
149,"['Trousers', 'Trousers', 'Sale', 'Sale']"
152,"['Sale', 'Sale', 'Blouses', 'Blouses']"
153,"['Skirts', 'Blouses', 'Trousers', 'Sale', 'Blouses', 'Blouses']"
154,"['Skirts', 'Skirts', 'Trousers', 'Skirts']"
155,"['Trousers', 'Trousers']"
157,"['Sale', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Trousers', 'Trousers', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
159,"['Trousers', 'Sale']"
160,"['Sale', 'Sale', 'Sale']"
162,"['Sale', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses']"
163,"['Blouses', 'Blouses', 'Blouses']"
164,"['Trousers', 'Trousers', 'Trousers', 'Blouses']"
165,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses']"
167,"['Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses']"
168,"['Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Sale', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
170,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
171,"['Trousers', 'Blouses', 'Blouses', 'Blouses', 'Trousers', 'Trousers', 'Trousers', 'Blouses']"
172,"['Sale', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
173,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
174,"['Trousers', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
177,"['Sale', 'Trousers', 'Trousers', 'Sale']"
178,"['Sale', 'Trousers']"
179,"['Skirts', 'Skirts', 'Skirts']"
181,"['Blouses', 'Blouses', 'Blouses', 'Blouses', 'Skirts', 'Trousers', 'Trousers', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Trousers', 'Trousers']"
182,"['Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
183,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses']"
184,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
185,"['Sale', 'Sale']"
186,"['Trousers', 'Trousers', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale']"
187,"['Blouses', 'Blouses', 'Blouses', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
188,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Trousers', 'Trousers']"
189,"['Trousers', 'Trousers']"
190,"['Blouses', 'Blouses', 'Blouses', 'Sale', 'Sale']"
192,"['Skirts', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Trousers', 'Trousers']"
193,"['Blouses', 'Blouses', 'Blouses', 'Blouses', 'Trousers', 'Trousers']"
194,"['Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Skirts']"
195,"['Blouses', 'Trousers', 'Trousers', 'Trousers', 'Sale', 'Sale', 'Sale']"
196,"['Sale', 'Sale', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
197,"['Trousers', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Trousers', 'Trousers', 'Skirts']"
198,"['Blouses', 'Blouses', 'Skirts', 'Skirts', 'Sale']"
200,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Blouses']"
201,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Blouses', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Skirts', 'Skirts', 'Skirts']"
202,"['Skirts', 'Skirts', 'Skirts', 'Skirts']"
203,"['Skirts', 'Skirts', 'Skirts']"
205,"['Skirts', 'Skirts']"
206,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Trousers', 'Trousers', 'Trousers']"
207,"['Blouses', 'Blouses', 'Blouses', 'Sale', 'Blouses', 'Blouses', 'Blouses', 'Skirts', 'Trousers', 'Blouses', 'Blouses']"
210,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Sale']"
211,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses']"
212,"['Trousers', 'Blouses', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
213,"['Sale', 'Sale', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Blouses', 'Skirts']"
214,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
215,"['Sale', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
216,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers']"
217,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers']"
218,"['Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses']"
219,"['Sale', 'Sale']"
220,"['Sale', 'Blouses', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Trousers', 'Sale', 'Blouses', 'Skirts', 'Trousers', 'Trousers', 'Blouses', 'Blouses', 'Sale', 'Blouses', 'Blouses', 'Skirts', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Trousers', 'Trousers', 'Blouses', 'Blouses', 'Blouses', 'Skirts', 'Sale', 'Sale']"
221,"['Blouses', 'Blouses']"
222,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Sale', 'Sale', 'Trousers']"
225,"['Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses']"
226,"['Blouses', 'Blouses', 'Skirts', 'Skirts']"
228,"['Trousers', 'Blouses']"
229,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Blouses']"
230,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Sale', 'Sale', 'Sale', 'Sale']"
231,"['Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses']"
232,"['Sale', 'Sale', 'Skirts', 'Skirts', 'Skirts', 'Trousers', 'Blouses']"
233,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Sale', 'Sale']"
234,"['Sale', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses']"
235,"['Trousers', 'Blouses', 'Blouses']"
236,"['Blouses', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Sale', 'Trousers']"
237,"['Trousers', 'Trousers']"
238,"['Blouses', 'Sale', 'Sale', 'Skirts']"
239,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Sale', 'Sale', 'Sale', 'Sale', 'Blouses', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses']"
240,"['Blouses', 'Skirts', 'Skirts']"
242,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses']"
244,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale']"
245,"['Skirts', 'Blouses', 'Blouses', 'Blouses']"
247,"['Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Trousers']"
248,"['Blouses', 'Blouses', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Sale', 'Sale', 'Sale']"
249,"['Sale', 'Sale', 'Sale']"
250,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale']"
251,"['Skirts', 'Skirts']"
252,"['Skirts', 'Skirts']"
253,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Trousers']"
254,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers']"
255,"['Skirts', 'Blouses']"
256,"['Blouses', 'Blouses']"
257,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Skirts', 'Blouses', 'Blouses']"
258,"['Skirts', 'Skirts', 'Skirts']"
260,"['Sale', 'Sale']"
261,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses']"
262,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
263,"['Blouses', 'Trousers']"
264,"['Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
266,"['Sale', 'Sale', 'Sale', 'Skirts', 'Skirts']"
267,"['Blouses', 'Blouses', 'Blouses', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
268,"['Sale', 'Sale', 'Sale', 'Blouses']"
269,"['Skirts', 'Skirts']"
270,"['Trousers', 'Trousers', 'Sale', 'Sale', 'Skirts', 'Skirts', 'Sale']"
271,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Blouses']"
273,"['Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Sale', 'Sale']"
275,"['Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Skirts', 'Skirts', 'Skirts', 'Skirts']"
276,"['Sale', 'Sale', 'Sale', 'Trousers']"
277,"['Trousers', 'Trousers', 'Trousers', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Skirts', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale', 'Sale']"
278,"['Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Trousers', 'Blouses', 'Blouses', 'Blouses', 'Blouses', 'Blouses']"
